id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
1452;NIHONBASHI;RESTAURANTE;JAPONESA;;4951 7381;martes a domingo de 9.30 a 23.30;MORENO 2075;Balvanera
1453;NOGARO;RESTAURANTE;MINUTAS;MODERNO;4331 0091;;ROCA, JULIO A., PRESIDENTE AV. 561;Monserrat
1454;ONGI ELORRE;RESTAURANTE;ESPAÑOLA;ESPAÑOL;4343 1811;martes a domingo de 12 a 15 y de 20 a 00;CHILE 980;Monserrat
1455;OSCAR;RESTAURANTE;;;;;ALSINA, ADOLFO 1745;Monserrat
1456;OTEREL;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4372 9059;;SOLIS 299;Monserrat
1457;PARRILLA PATAGONIA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4383 2943;;MORENO 1110;Monserrat
1458;PARRILLA INDEPENDENCIA;RESTAURANTE;INTERNACIONAL;MODERNO;4381 4528;;INDEPENDENCIA AV. 1789;Monserrat
1459;PLAZA MAYOR;RESTAURANTE;ESPAÑOLA;ESPAÑOL;4383 0788;;REPUBLICA BOLIVARIANA DE VENEZUELA 1399;Monserrat
1460;POSTA IV;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4384 6467;;SALTA 424;Monserrat
1461;PRIMER CORTE;RESTAURANTE;INTERNACIONAL;MODERNO;4381 9158;;REPUBLICA BOLIVARIANA DE VENEZUELA 1290;Monserrat
1462;PUNTA CUORE;RESTAURANTE;MINUTAS;MODERNO;4384 8889;;BELGRANO AV. 1700;Monserrat
1463;PRETTY;RESTAURANTE;MINUTAS;MODERNO;4383 7479;;BELGRANO AV. 1402;Monserrat
1464;QUIJOTE PIZZA CAFE;RESTAURANTE;PIZZERIA;MODERNO;4383 7583;;DE MAYO AV. 1101;Monserrat
1465;RELAX;RESTAURANTE;MINUTAS;MODERNO;4383 6505;;INDEPENDENCIA AV. 1101;Monserrat
1466;REY CASTRO;RESTAURANTE;CUBANA;CUBANA;;;PERU 342;Monserrat
1467;RISTRETTO BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4393 9123;;LIMA 611;Monserrat
1468;RIN Y SON SOCIAL CLUB;RESTAURANTE;CUBANA;MODERNO;4382 3427;;SALTA 508;Monserrat
1469;SABORES;RESTAURANTE;;;4383 1925;;ALSINA, ADOLFO 1193;Monserrat
1470;SOKERESA;RESTAURANTE;CUBANA;CLASICO PORTEÑO;4381 2690;;SOLIS 242;Monserrat
1471;SABORES COSAS RICAS;RESTAURANTE;;;4383 1923;;MORENO 1207;Monserrat
1472;SAN PEDRO;CAFE;MINUTAS;MODERNO;4382 4077;;LIMA 135;Monserrat
1473;SPIGA;RESTAURANTE;ITALIANA;MODERNO;4383 9971;;ENTRE RIOS AV. 602;Monserrat
1474;SUA;RESTAURANTE;;MODERNO;4381 8995;;MEXICO 1670;Monserrat
1475;TAMIRIS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4383 4114;;BELGRANO AV. 1401;Monserrat
1476;UCRANIA;BAR;MINUTAS;CLASICO PORTEÑO;4331 3681;lunes a sábado de 6 a 21 - domingo de 6 a 17;BELGRANO AV. 102;Monserrat
1477;UNDICI;BAR;MODERNO;;4381 8477;;MEXICO 1399;Monserrat
1478;VALENTINO;BAR;MINUTAS;CLASICO PORTEÑO;4334 4848;lunes a viernes de 7.30 a 23 - sábado de 7.30 a 00;IRIGOYEN, BERNARDO de 82;Monserrat
1479;VICTORIA PIZZA CAFE;RESTAURANTE;;;;;IRIGOYEN 1800;Versalles
1480;VASCO FERMIN;BAR;ESPAÑOLA;ESPAÑOL;4383 5021;;MORENO 1356;Monserrat
1481;VIEJOS TIEMPOS;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4345 0180;lunes a viernes de 7 a 16;DEFENSA 333;Monserrat
1482;BAHIA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;SAENZ AV. 1455;Nueva Pompeya
1483;BLA- BLA;RESTAURANTE;FAST FOOD;MODERNO;4671 7542;;JUSTO, JUAN B. AV. 6301;Villa Santa Rita
1484;EL CHAMUYO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4585 7439;;BELAUSTEGUI, LUIS, Dr. 3202;Villa Santa Rita
1485;KANTUKA;RESTAURANTE;BOLIVIANA;;;;FOURNIER 2445;Nueva Pompeya
1486;LA BLANQUEADA;RESTAURANTE;PIZZERIA;MODERNO;4919 0896;;SAENZ AV. 1201;Nueva Pompeya
1487;LA RUMBA;RESTAURANTE;PIZZERIA;MODERNO;4919 5664;;SAENZ AV. 963;Nueva Pompeya
1488;LE PAYSAGE;CAFE;SANDWICHERIA;BRITANICA;4926 0277;;COBO AV. 1102;Nueva Pompeya
1489;LA CONTINENTAL;RESTAURANTE;PIZZERIA;MODERNO;4374 1444;;SAENZ AV. 1014;Nueva Pompeya
1490;LA PALMAS;RESTAURANTE;ESPAÑOLA;ESPAÑOL;4921 8815;;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 1100;Nueva Pompeya
1491;MAILIN;CAFE;TRADICIONAL;CLASICO PORTEÑO;4923 1524;;CHICLANA AV. 4258;Nueva Pompeya
1492;PABLO'S;RESTAURANTE;PIZZERIA;MODERNO;4923 0182;;CASEROS AV. 3602;Nueva Pompeya
1493;SAN JOSE;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;CASEROS AV. 3902;Nueva Pompeya
1494;PIZZA CHOP;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4925 3815;;COBO AV. 1030;Nueva Pompeya
1495;TROPICAL;RESTAURANTE;PIZZERIA;MODERNO;4911 2131;;SAENZ AV. 1100;Nueva Pompeya
1496;ANGELUS;RESTAURANTE;PIZZERIA;MODERNO;4703 2911;;DEL LIBERTADOR AV. 7598;NuÃƒÂ±ez
1497;BAJO BELGRANO;RESTAURANTE;INTERNACIONAL;MODERNO;4701 4806;;CONGRESO 2011;NuÃƒÂ±ez
1498;BESARES BUENO;RESTAURANTE;MEDITERRANEA;TEATRAL;4704 0697;;11 DE SEPTIEMBRE DE 1888 4098;NuÃƒÂ±ez
1499;CAFE LEON;RESTAURANTE;MINUTAS;MODERNO;4701 8671;;RAMALLO 1736;NuÃƒÂ±ez
1500;BAR LA ESCUELA;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;;;PEDRAZA, MANUELA 2803;NuÃƒÂ±ez
1501;CHAVELA RESTO BAR;RESTAURANTE;INTERNACIONAL;MODERNO;4702 5355;;DEL LIBERTADOR AV. 7999;NuÃƒÂ±ez
1502;CHECHO;RESTAURANTE;PARRILLA;RUSTICA;4702 8111;;RAMALLO 1781;NuÃƒÂ±ez
1503;FRAPPE;RESTAURANTE;INTERNACIONAL;MODERNO;4702 9727;;CABILDO AV. 4561;NuÃƒÂ±ez
1504;KEANU;RESTAURANTE;MINUTAS;MODERNO;4544 2760;;CRAMER AV. 3001;NuÃƒÂ±ez
1505;LA GRAN VIA;RESTAURANTE;MEDITERRANEA;ESPAÑOL;4702 2601;;LARRALDE, CRISOLOGO AV. 1899;NuÃƒÂ±ez
1506;JUAN Y JUAN;RESTAURANTE;;;;;LARRALDE, CRISOLOGO AV. 1602;NuÃƒÂ±ez
1507;LOS SAUCES;RESTAURANTE;INTERNACIONAL;MODERNO;4703 3003;;CABILDO AV. 4601;NuÃƒÂ±ez
1508;MANDARIN'S CAFE;RESTAURANTE;;;4703 2067;;VILELA 2095;NuÃƒÂ±ez
1509;MC DONALD'S;CAFE;FAST FOOD;MODERNO;;;DEL LIBERTADOR AV. 7112;NuÃƒÂ±ez
1510;MILENIO;CAFE;MINUTAS;MODERNO;4541 9009;;QUESADA 3085;NuÃƒÂ±ez
1511;ORPHEO;RESTAURANTE;MINUTAS;MODERNO;4702 0803;;LARRALDE, CRISOLOGO AV. 1520;NuÃƒÂ±ez
1512;PRETO RESTO BAR;RESTAURANTE;INTERNACIONAL;RUSTICA;4704 5338;;JARAMILLO 1701;NuÃƒÂ±ez
1513;PYKO'S BAR;CAFE;SANDWICHERIA;MODERNO;4702 8794;;DEL LIBERTADOR AV. 8602;NuÃƒÂ±ez
1514;PIZZUELA EXPRESS;RESTAURANTE;;;4788 5330;;11 DE SEPTIEMBRE DE 1888 3000;NuÃƒÂ±ez
1515;PUNTO OBLIGADO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4704 0404;;VUELTA DE OBLIGADO 3799;NuÃƒÂ±ez
1516;ROJO Y NEGRO;CAFE;INTERNACIONAL;MODERNO;;;DEL LIBERTADOR AV. 2661;Palermo
1517;TUC SON;CAFE;AMERICANA;AMERICANO;4702 2500;;ARCOS 3636;NuÃƒÂ±ez
1518;WINNER;PUB;MINUTAS;MODERNO;4554 3646;;CABILDO AV. 3102;NuÃƒÂ±ez
1519;WENDOLIN PUB;PUB;SANDWICHERIA;PSICODELICO;;;11 DE SEPTIEMBRE DE 1888 4401;NuÃƒÂ±ez
1520;STAFFORD;CAFE;MINUTAS;ANTIGUO;4782 6334;;IBERA 1914;NuÃƒÂ±ez
1521;ZONA;RESTAURANTE;INTERNACIONAL;RUSTICA;4704 5018;;11 DE SEPTIEMBRE DE 1888 3900;NuÃƒÂ±ez
1522;ALVEAR PARK;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4881 0102;lunes a lunes de 7 a 23;ALBERDI, JUAN BAUTISTA AV. 4302;Parque Avellaneda
1523;BAR AVENIDA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4674 2348;lunes a viernes de 6.30 a 21 - sábado de 6.30 a 16;PERON, EVA AV. 4300;Parque Avellaneda
1524;BOCADOS CAFE;CAFE;SANDWICHERIA;MODERNO;;lunes a lunes de 8 a 21;DIRECTORIO AV. 3999;Parque Avellaneda
1525;EL GARFIO;CAFE;SANDWICHERIA;CLASICO PORTEÑO;;lunes a sábado de 8 a 21;DIRECTORIO AV. 2699;Flores
1526;EL TORITO;CAFE;PARRILLA;CLASICO PORTEÑO;4635 1176;lunes a lunes de 12 a 15 y de 20 a 00;BRUIX AV. 4797;Parque Avellaneda
1527;LA ANTIGUA MARECHARE;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;;lunes a lunes de 8 a 00;DIRECTORIO AV. 4792;Parque Avellaneda
1528;LA NUEVA AMISTAD;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4637 7701;lunes a sábado de 8.30 a 00;ACOSTA, MARIANO AV. 900;Parque Avellaneda
1529;LA CABAÑA DEL TIO BETO;RESTAURANTE;TRADICIONAL;RUSTICA;4635 2351;lunes a lunes de 7 a 00;ALBERDI, JUAN BAUTISTA AV. 4802;Parque Avellaneda
1530;LA POPULAR;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4674 2848;lunes a lunes de 7 a 1;PERON, EVA AV. 4248;Parque Avellaneda
1531;REPLAY;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4671 8991;lunes a lunes de 9 a 00;PERON, EVA AV. 4400;Parque Avellaneda
1532;TRES AVENIDAS;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4671 2881;lunes a sábado de 5 a 00;DIRECTORIO AV. 4302;Parque Avellaneda
1533;SAN FRANCISCO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4637 2424;lunes a sábado de 8 a 22;PERON, EVA AV. 3655;Parque Avellaneda
1534;VICENTE;CAFE;INTERNACIONAL;BODEGA;4633 4657;lunes a lunes de 12 a 16 y de 20 al cierre;PRIMERA JUNTA 4899;Parque Avellaneda
1535;COVCHEN;RESTAURANTE;TRADICIONAL;DISEÑO;4922 4949;domingo a jueves de 8 a 00 - sábado de 8 a 6;LA PLATA AV. 1365;Parque Chacabuco
1536;EL RINCON DE HUGO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;;lunes a sábado de 7 a 23;PERON, EVA AV. 2100;Parque Chacabuco
1537;EL METRO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4922 4927;lunes a sábado de 10 a 23;LA PLATA AV. 1385;Parque Chacabuco
1538;FONDUE PER NOI;RESTAURANTE;FRANCESA;BRITANICA;4922 5503;lunes a viernes de 9 al cierre - sábado y domingo de 18 al cierre;LA PLATA AV. 1501;Parque Chacabuco
1539;FREDU II;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4923 4456;lunes a sábado de 12 a 15 y de 20 a 00;DIRECTORIO AV. 686;Parque Chacabuco
1540;LOCOS DE ASAR;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4923 9990;martes a domingo de 10.30 a 15 y de 19.30 a 00.30;PERON, EVA AV. 1790;Parque Chacabuco
1541;LA PEÑA DEL COYA;RESTAURANTE;REGIONAL;FOLKLORICO;4922 4927;sábado de 22 al cierre;LA PLATA AV. 1385;Parque Chacabuco
1542;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;LA PLATA AV. 1768;Boedo
1543;NOSSE;RESTAURANTE;SANDWICHERIA;MODERNO;4923 1975;lunes a lunes de 6 a 00;MORENO, JOSE MARIA AV. 807;Parque Chacabuco
1544;Q' RICO;RESTAURANTE;BOLIVIANA;CLASICO PORTEÑO;;lunes a lunes de 10 a 23;COBO AV. 1899;Parque Chacabuco
1545;POOL ENTRETENIMIENTO;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;;jueves a domingo de 22 al cierre;DIRECTORIO AV. 1240;Parque Chacabuco
1546;SAN GENNARO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4631 0833;lunes a lunes de 7 a 00;DIRECTORIO AV. 1900;Parque Chacabuco
1547;SAN LORENZO;RESTAURANTE;MINUTAS;FUTBOL;4921 4482;lunes a lunes de 9 a 22;LA PLATA AV. 1697;Parque Chacabuco
1548;SISSI;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4431 2595;lunes a lunes de 6 a 22;MALVINAS ARGENTINAS 974;Parque Chacabuco
1549;BAR EL MOLINO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4677 1743;;24 DE NOVIEMBRE 2287;Parque Patricios
1551;DESPENSA;RESTAURANTE;MINUTAS;MODERNO;;;PICHINCHA AV. 1895;Parque Patricios
1552;E & E;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CASEROS AV. 2194;Parque Patricios
1553;EL ALBA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CHUTRO, PEDRO, Prof., Dr. 3300;Parque Patricios
1554;EL CAFE DE LA ESQUINA;CAFE;MINUTAS;CLASICO PORTEÑO;;;CHICLANA AV. 2920;Parque Patricios
1555;EL GRAN ESPAÑOL;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;LA RIOJA 2161;Parque Patricios
1556;EL BARCITO;RESTAURANTE;MINUTAS;RUSTICA;4942 4692;;BRASIL 3195;Parque Patricios
1557;EL GLOBITO;CAFE;PIZZERIA;CLASICO PORTEÑO;4943 3680;;CASEROS AV. 3015;Parque Patricios
1558;EL HURACAN;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4308 3520;;CASEROS AV. 2807;Parque Patricios
1559;EL NUEVO REFUGIO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CASEROS AV. 2700;Parque Patricios
1560;EL OMBU PARRILLA BAR;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;PATAGONES 2976;Parque Patricios
1561;EL PARQUE;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4943 2932;;CASEROS AV. 3001;Parque Patricios
1562;FRAGA;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4308 4174;;LAVARDEN 200;Parque Patricios
1564;LA CUEVA DEL CAMIONERO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;PEPIRI 695;Parque Patricios
1565;LA FAMILIA;RESTAURANTE;MINUTAS;MODERNO;4911 9224;;CASEROS AV. 2802;Parque Patricios
1566;LA FAROLA EXPRESS DE PATRICIOS;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4943-1625 / 4941-5837;;CASEROS AV. 2909;Parque Patricios
1567;LA CUSPIDE;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4308 1707;;BRASIL 2471;Parque Patricios
1568;LA NENA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;ALBERDI, JUAN BAUTISTA AV. 407;Caballito
1569;LA PRADERA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;SALCEDO 2899;Parque Patricios
1570;LAS PALMAS;RESTAURANTE;PIZZERIA;MODERNO;4306 4391;;CASEROS AV. 2002;Parque Patricios
1571;LA TABERNA DE ROBERTO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4911 8896;;BRASIL 3292;Parque Patricios
1572;LA PERLA;RESTAURANTE;PIZZERIA;MODERNO;;;CASTILLO, CATULO 2998;Parque Patricios
1573;LAS VIOLETAS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;USPALLATA 2801;Parque Patricios
1574;LOS CAMIONEROS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;LUNA 105;Parque Patricios
1575;LOS TINTIN;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4308 3204;;BRASIL 2302;Parque Patricios
1576;LO DEL TANO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4942 6646;;15 DE NOVIEMBRE DE 1889 2602;Parque Patricios
1577;LOS PATRICIOS;RESTAURANTE;PIZZERIA;MODERNO;4308 0701;;LA RIOJA 1849;Parque Patricios
1578;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;ENTRE RIOS AV. 2195;Parque Patricios
1579;MOB PETIT;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;;;ZAVALETA 393;Parque Patricios
1580;PANCHAZO;CONFITERIA;SANDWICHERIA;MODERNO;;;CASEROS AV. 3201;Parque Patricios
1581;MUZZARELLA;CONFITERIA;PIZZERIA;MODERNO;;;CASEROS AV. 2080;Parque Patricios
1582;PARADA I;RESTAURANTE;MINUTAS;MODERNO;4305 5243;;ENTRE RIOS AV. 1901;Parque Patricios
1583;PIZZERIA CANCHA;RESTAURANTE;PIZZERIA;MODERNO;4942 0129;;BRASIL 2699;Parque Patricios
1584;SAN ANTONIO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CASEROS AV. 2401;Parque Patricios
1585;PARRILLA POOL;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;CHICLANA AV. 2898;San Cristobal
1586;POZO BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4304 4063;;RONDEAU 1878;Parque Patricios
1587;SAN MIGUEL;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4912 8690;;GARAY, JUAN DE AV. 3196;Parque Patricios
1588;THE FAMILY;RESTAURANTE;MINUTAS;MODERNO;;;CASEROS AV. 2100;Parque Patricios
1589;EL MOTIVO;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;;;SAN MARTIN AV. 3305;Paternal
1590;LA CORONA;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4505 3263;;SAN MARTIN AV. 2800;Villa Gral. Mitre
1591;AIRES DE PATAGONIA;RESTAURANTE;PATAGONICA;RUSTICA;4315 2151;lunes a lunes de 11 al cierre;MOREAU DE JUSTO, ALICIA AV. 1798;Puerto Madero
1592;AZURRA;RESTAURANTE;MEDITERRANEA;MARINA;4341 9050;;MANSO JUANA 2;Puerto Madero
1593;ASIA DE CUBA;RESTAURANTE;INTERNACIONAL;ORIENTAL;4894 1328;;DEALESSI, PIERINA 750;Puerto Madero
1594;BAHIA MADERO;RESTAURANTE;INTERNACIONAL;MODERNO;4319 8730;;MOREAU DE JUSTO, ALICIA AV. 430;Puerto Madero
1595;BAS BUENOS AIRES;RESTAURANTE;TRADICIONAL;DISEÑO;4312 2037;;COSSETTINI, OLGA 260;Puerto Madero
1596;BICE;RESTAURANTE;ITALIANA;CLASICO PORTEÑO;4315 6216;;MOREAU DE JUSTO, ALICIA AV. 192;Puerto Madero
1597;COMO? EL 12;RESTAURANTE;PIZZERIA;;4312 5338;;MOREAU DE JUSTO, ALICIA AV. 1799;Puerto Madero
1598;LAS LILAS;RESTAURANTE;;;4313 1336;;MOREAU DE JUSTO, ALICIA AV. 516;Puerto Madero
1599;EL MIRASOL DE PUERTO MADERO;RESTAURANTE;PARRILLA;RUSTICA;4315 6277;lunes a lunes de 12 a 15 y de 20 a 00;MOREAU DE JUSTO, ALICIA AV. 202;Puerto Madero
1600;ESTILO CAMPO;RESTAURANTE;PARRILLA;RUSTICA;4312 4546;;MOREAU DE JUSTO, ALICIA AV. 1840;Puerto Madero
1601;EMBRUJO RESTO;RESTAURANTE;INTERNACIONAL;;4313 1199;lunes a viernes de 12 a 15.30 y de 20 a 1 - sábado de 12 a 15.30 y de 20 al cierre;MOREAU DE JUSTO, ALICIA AV. 176;Puerto Madero
1602;GUANTANAMERA;RESTAURANTE;CUBANA;MODERNO;4314 0770;;MOREAU DE JUSTO, ALICIA AV. 2092;Puerto Madero
1603;HAPPENING;RESTAURANTE;PARRILLA;MODERNO;4319 8715;;MOREAU DE JUSTO, ALICIA AV. 310;Puerto Madero
1604;HARBOR CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4315 2010;;DEALESSI, PIERINA 240;Puerto Madero
1605;HEREDERO;RESTAURANTE;;;4342 8689;;MOREAU DE JUSTO, ALICIA AV. 1140;Puerto Madero
1606;HONDO;RESTAURANTE;DE AUTOR;RUSTICA;4312 7762;domingo a miércoles de 12 a 1 - jueves a sábado de 12 a 2;COSSETTINI, OLGA 240;Puerto Madero
1607;IL GATTO TRATTORIAS;RESTAURANTE;ITALIANA;ITALIANA;4345 6565;;MOREAU DE JUSTO, ALICIA AV. 1190;Puerto Madero
1608;JUMP BACK;RESTAURANTE;AMERICANA;AMERICANO;4312 8553;;MOREAU DE JUSTO, ALICIA AV. 1808;Puerto Madero
1609;IL GRAN CARUSSO;RESTAURANTE;ITALIANA;RUSTICA;4515 0707;;COSSETTINI, OLGA 799;Puerto Madero
1610;KATRINE;RESTAURANTE;MEDITERRANEA;CLASICO PORTEÑO;4315 6222;;MOREAU DE JUSTO, ALICIA AV. 138;Puerto Madero
1611;LA CABALLERIZA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4315 6200;;MOREAU DE JUSTO, ALICIA AV. 580;Puerto Madero
1612;LA MADELEINE;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4315 6200;;MOREAU DE JUSTO, ALICIA AV. 102;Puerto Madero
1613;LA BISTECCA;RESTAURANTE;MEDITERRANEA;;4514 4997;;MOREAU DE JUSTO, ALICIA AV. 1890;Puerto Madero
1614;LA CASONA DE ROQUE;RESTAURANTE;ITALIANA;;4315 6343;lunes a domingo mediodía y noche;MOREAU DE JUSTO, ALICIA AV. 256;Puerto Madero
1615;LA PAROLACCIA DEL MARE;RESTAURANTE;MARISCOS;MARINA;4343 0038;;MOREAU DE JUSTO, ALICIA AV. 1160;Puerto Madero
1616;LA PAROLACCIA TRATTORIAS;RESTAURANTE;ITALIANA;ITALIANA;4343 1679;;MOREAU DE JUSTO, ALICIA AV. 1052;Puerto Madero
1617;MAGNOLIA;RESTAURANTE;;;4342 3000;lunes a domingo mediodía y noche;MOREAU DE JUSTO, ALICIA AV. 1007;Puerto Madero
1618;MOLA MOLA;CAFE;INTERNACIONAL;MODERNO;4787 0498;;MANSO JUANA 1606;Puerto Madero
1619;LOLA MORA;RESTAURANTE;INTERNACIONAL;MODERNO;5787 0887;;MANSO JUANA 460;Puerto Madero
1620;MC DONALD'S;CAFE;FAST FOOD;MODERNO;;;MOREAU DE JUSTO, ALICIA AV. 850;Puerto Madero
1621;MONTOYA;RESTAURANTE;MEDITERRANEA;MODERNO;4315 3533;;MOREAU DE JUSTO, ALICIA AV. 152;Puerto Madero
1622;OPERA BAY;RESTAURANTE;DE AUTOR;MODERNO;4315 8666;;GRIERSON, CECILIA 225;Retiro
1623;OLIVES;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4313 1956;;MOREAU DE JUSTO, ALICIA AV. 276;Puerto Madero
1624;PUERTO CRISTAL;RESTAURANTE;INTERNACIONAL;;4315 6260;lunes a domingo mediodía y noche;MOREAU DE JUSTO, ALICIA AV. 1082;Puerto Madero
1625;RENATINO RISTORANTE;RESTAURANTE;ITALIANA;ELEGANTE;4315 2481;;MOREAU DE JUSTO, ALICIA AV. 1760;Puerto Madero
1626;SIGA LA VACA;RESTAURANTE;TENEDOR LIBRE;MODERNO;4315 6801;;MOREAU DE JUSTO, ALICIA AV. 1714;Puerto Madero
1627;RODIZIO MADERO;RESTAURANTE;PARRILLA;MODERNO;4334 3646;;MOREAU DE JUSTO, ALICIA AV. 848;Puerto Madero
1628;SPELL CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4334 0512;;MOREAU DE JUSTO, ALICIA AV. 740;Puerto Madero
1629;SPETTUS;;INTERNACIONAL;MODERNO;4334 4126;lunes a lunes de 8 al cierre;MOREAU DE JUSTO, ALICIA AV. 876;Puerto Madero
1630;T.G.I FRIDAY'S;RESTAURANTE;AMERICANA;AMERICANO;4342 5611;;MOREAU DE JUSTO, ALICIA AV. 1010;Puerto Madero
1632;THE COFFE STORE;RESTAURANTE;MINUTAS;MODERNO;4315 1385;;MOREAU DE JUSTO, ALICIA AV. 1788;Puerto Madero
1633;TIERRA DE PARRILLEROS;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4312 3434;;COSSETTINI, OLGA 901;Puerto Madero
1634;TOCORORO;RESTAURANTE;CUBANA;CUBANA;4342 6032;;MOREAU DE JUSTO, ALICIA AV. 1050;Puerto Madero
1635;XCARET;RESTAURANTE;INTERNACIONAL;;4315 6260;lunes a domingo mediodía y noche;MOREAU DE JUSTO, ALICIA AV. 164;Puerto Madero
1636;788 FOODBAR;RESTAURANTE;MEDITERRANEA;MODERNO;4814 4788;;ARENALES 1877;Recoleta
1637;A LA MAROSKA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4824 8878;;ALVEAR, MARCELO T. De 2251;Recoleta
1638;ACQUANOVA;;MINUTAS;CLASICO PORTEÑO;4825 1833;lunes a domingo de 8 a 3;DIAZ, CNEL. AV. 1879;Recoleta
1639;ACROPOLIS;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4963 4888;lunes a viernes de 7 a 20;CORDOBA AV. 3493;Recoleta
1640;AL CLUB;RESTAURANTE;PORTEÑA;MODERNO;4963 0040;;PARAGUAY 2044;Recoleta
1641;AFICHE;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4822 8979;;ALVEAR, MARCELO T. De 2119;Recoleta
1642;ALAMEDA;RESTAURANTE;MINUTAS;MODERNO;4803 3380;;LAS HERAS GENERAL AV. 2324;Recoleta
1643;ALFRED;RESTAURANTE;MINUTAS;MODERNO;4827 4200;;PUEYRREDON AV. 1335;Recoleta
1644;AMIGOS PROPIETARIOS;RESTAURANTE;TRADICIONAL;;;lunes a domingo mediodía y noche;AYACUCHO 2183;Recoleta
1645;ALMACEN NATURISTA;RESTAURANTE;NATURISTA;MODERNO;4963 1513;lunes a sábado de 8 a 22;MANSILLA, LUCIO NORBERTO, GENERAL 2740;Recoleta
1646;ANCHORENA PLAZA;RESTAURANTE;PIZZERIA;MODERNO;4484 8951;;SANTA FE AV. 2702;Recoleta
1647;ANGELO'S;CAFE;SANDWICHERIA;CLASICO PORTEÑO;;lunes a sábado de 19 a 7;SANTA FE AV. 2779;Recoleta
1648;AU BEC FIN;RESTAURANTE;FRANCESA;FRANCES;4805 0861;;LOPEZ, VICENTE 1877;Recoleta
1649;AVANTY;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4815 7912;;AYACUCHO 117;Balvanera
